stars,comment
3.0 out of 5 stars,"







  
  
    This vacuum was great for about 1.5 years (used 1-2 times per week).  I've had it a little over  2 years now and the suction has decreased quite a bit the past year. I've cleaned all the filters regularly and the roller too so I'm out of solutions and have realized it's just not as good as it once was :(.
  
"
3.0 out of 5 stars,"







  
  
    We bought this brand because we have had a little Shark Delux vacuum for years and we love it.  Light, durable, and works great.This works well, and is easy to handle, but the noise is intolerable.  So loud and high-pitched.  I used to work construction and very few noises bother me, but this thing drives me out of the house when my wife uses it.
  
"
3.0 out of 5 stars,"







  
  
    I just got this, after ordering the TruePet and having to return it because they sent me the Deluxe Pro instead.  I'm going to compare this and the Deluxe Pro.Here's what I love about BOTH vacuums:1) They are CRAZY good at getting up dirt.  I've had an Oreck XL for many years, and it was on its last legs.  I got this thing, and one run over my carpets and the dust cup had to be emptied.  It got up sand and dirt that the Oreck couldn't touch.  It's mortifying that my Oreck was so ineffective in the end, but also incredibly impressive that the Shark Rocket is so effective.2) They are both lightweight, and convenient.  Sure, neither stands upright when the vacuum attachment is on the pole.  So what.  I've found that, in my experience, most vacuums start being iffy on that front after a few years.  The little part that locks it in place often wears down and causes it to unlock easily.  I don't mind that.3) The filter system and clear dust cups are awesome.  I have long-haired Pomeranians, a long-haired daughter, and in my ""older age"" am losing more hair than I care to admit.  The interior dust-cup filter does not miss a THING!  Within a minute, it's wrapped with hair I didn't even see on the ground!4) The ability to detach the pole and turn it into a hand-vac is awesome!  I love the fact I can use it on my couches, my steps, blinds, in the car, etc with ease.Here's the bad about this one:1) First and foremost, and absolutely critical to ME is the fact that the dust cup itself doesn't unclip from the vacuum!  You literally have to unplug the entire vacuum housing to empty the cup!  THIS IS RIDICULOUS.  What were they thinking?  I thought it was removable like the DeluxePro and went to unclip it, only to have the top open up and all the contents of the dust cup splatter everywhere.And, because of #2 below, you have to empty it twice as often!2)  The dust cup is twice as small on this model as on the DeluxePro, TruePet, and DuoClean.  Although it looks to be the same size, the difference is that the interior cone filter is separated from the rest of the cup, which limits its capacity by half.  It also makes it next to impossible to clean off that interior cone filter--which is where all the hair collects.  Total design failure.The good thing about this one is that it comes with more accessories--although, in truth, they are accessories you can get independently that don't even have to be OEM, so...not really too impressed with that.All in all, if you are going to get one, I'd definitely recommend the Deluxe Pro over this one.  I believe the TruePet is just the Deluxe Pro with an additional Pet brush, so that's a better choice as well, if you have pets.  But the fact that the dust cup doesn't detach is a total buzzkill for me and I am sending this bad boy back.
  
"
3.0 out of 5 stars,"







  
  
    You cannot get parts so after 3 years my floor hose hose split.
  
"
3.0 out of 5 stars,"







  
  
    I've owned this vacuum for 3 years now. I honestly don't like it at all anymore. I only gave it 3 stars because I think it was probably half decent when I first got it. It does have fairly decent suction but I will be replacing it very soon because I'm tired of it for my hard floors.. It misses so much and my dust mop does a much better job. It's always got hair stuck in the roll and around the little metal filter part in the canister. Also, unless you plan on mounting it to the wall with the plate, it's not quick and convenient to get out and out up every time. The cord is super long which is honestly a pro for me so I don't have to plug it in every time I go to a different spot in the house.
  
"
3.0 out of 5 stars,"







  
  
    This vacuum rocks! I love the versatility of it, and the fact that you don't have to change bags. I wouldn't recommend this being your only vacuum for a large house, as it's not the largest, but they do make bigger models for that. The attachments are great and you don't have to buy the motorized attachment for say the steps because this one breaks down small enough to do that already.Update 2017. Last month the container that collects the debris broke. The part that broke is the hinge that holds it on to the vaccuum. So not even 3 years into using it, already broken. Of course there's nothing you can do after the 1 year warranty is up. I'd buy a full size one not this.
  
"
3.0 out of 5 stars,"







  
  
    This product is heavy, if arthritis in your hands rethink this purchase. The cord is extra long which is nice.
  
"
3.0 out of 5 stars,"







  
  
    This vacuum cleaner works well BUT you have to empty the small canister often, and the part that you hold in your hand is heavy!  I like that it easily converts to a hand-held vac for stairs, and cracks and crevices, but I don't recommend using it for long periods of time because it begins to hurt your wrist.  As I said, it cleans well but I'm glad I didn't spend more for it.  I am a fan of most of the Shark products, and have used them for years!  So far, though, my all-time FAVORITE Shark vacuum is the ultra LIGHT-WEIGHT upright vac. which I bought 5 or 6 years ago!  (I don't know if they even make that model anymore.)  This vac is supposed to be light-weight but the hand-held canister is NOT.
  
"
3.0 out of 5 stars,"







  
  
    This vacuum works great on rugs & is worth 5 stars but it doesn't pick up when it comes to my wood floors & is only worth 1 star. The hand piece is also quite heavy & the hot air blowing out from it becomes uncomfortably inconvenient when you have more vacuuming to do.
  
"
3.0 out of 5 stars,"







  
  
    I got this because my other vacuum is too heavy to get out weekly. This is good for surface dirt and I find it confusing to use. Too many buttons and no obvious button or foot pedal for starting.
  
"
3.0 out of 5 stars,"







  
  
    Seems okay, but only two months after buying, the auction on it seems to be so much weaker than it was.
  
"
3.0 out of 5 stars,"







  
  
    The power cord on this vacuum cleaner electrocuted my son and all I want is for them to ethier fix the cord at no extra charge or replace the vacuum. I would not recommend this product because of the faulty electrical issue.
  
"
3.0 out of 5 stars,"







  
  
    I like it’s lightweight.  The head of it swivels too much too easily.  Not a great suction.  It’s ok for price.
  
"
3.0 out of 5 stars,"







  
  
    Great suction and really easy to use attachments.  Only major complaint is that it is a bit top heavy making it hard to maneuver and because of that, you cannot stand it upright.  It has to either rest against something like a wall or be laid down when not in use.  Otherwise it is easy to empty, fits into tight spaces and does a great job.
  
"
3.0 out of 5 stars,"







  
  
    Very convenient, but short on dirt pick up. Broke down and bought a good vacuum--Dyson. Don't spend money on 2-5 vacuums over 5-years. But a good one to start--Dyson, Miele, Sears canister, Bank, etc.
  
"
3.0 out of 5 stars,"







  
  
    great suction but you have to stop and empty the dirt/dust every few minutes
  
"
3.0 out of 5 stars,"







  
  
    Good product but customer service is hard to reach
  
"
3.0 out of 5 stars,"







  
  
    I have a love/hate relationship with my Shark Rocket.  Love the ability to get under furniture and the power, never had one that felt like it was going to take off and pull me across the room!  The hate part (actually I'll just say  ""dislike"") is the weight of the motor (top) part and the inability to easily stand it up and walk away.  You either lay it down or secure the vacuum head to keep the whole thing half way upright, like in a hallway with each end against a wall.  While the swivel of the vacuum part is nice it's also a pain since it swivels when you don't want it to.  I don't think I would buy it if I had been given a chance to try it out first.  But my husband bought it for me and the money didn't come out of my household budget so that's a good thing and I'm not telling him it's only ""OK"".
  
"
3.0 out of 5 stars,"







  
  
    I started my search looking for a cordless vacuum. Somehow I got on a page for vacuums that were not cordless. the picture of what I bought doesn't show a cord, so I thought I was buying a cordless. That's why I returned it !  Nowhere in the description does it say this unit is a 110 volt
  
"
3.0 out of 5 stars,"







  
  
    It has been a great lightweight vacuum but it only last 3 years.  The plastic that holds the pin in place on the door that you use to empty the vacuum broke and I currently have the door taped on!
  
"
3.0 out of 5 stars,"







  
  
    I bought the vacuum November 2016 and the rotating brushes in the middle are gone? Left and right are ok.Are there replaceable parts for the rotating brushes? I couldn't find them!!
  
"
3.0 out of 5 stars,"







  
  
    A good vacuum but only lasted about two years. No longer powerful, gets hot to touch. Yes, I've always kept it clean, nothing is blocking anything and brush is clear. It simply has a short life span.
  
"
3.0 out of 5 stars,"







  
  
    I don't like it because it will not stand up alone. I have to prop it against something.
  
"
3.0 out of 5 stars,"







  
  
    I switched from an upright Dirt Devil which is very old and still working just fine, but really heavy. My back and age needed a lighter weight vacuum. This is light. Almost too light. When you make a pass with it, the end farthest away from you angles up because it is so light. It doesn't have the weight to hug the floor.I don't like that I have to have the cord undone to empty it. It doesn't hold enough dirt and is awkward to empty.With this vacuum, I have to do a LOT of bending. I have to manage the cord while I use it and bend up and down to wind the cord back up. I have to bend over the trashcan to empty the container. I have 3 bad discs in my lower back. None of this is good for me.It seems to vacuum well enough, but the head is so small in width that I need twice as many passes to finish the room! It really is small.I don't like that it won't stand on it's own.I wish there were an onboard clip to fasten the tools. I had to stick them in a drawer that I had to empty. Doubt they'll get used much as it is just too inconvenient.  For some reason, I thought there was a clip, but I must have been thinking of another one.The micro tools are a nice touch, but again- doubt I'll use them.Vacuuming itself doesn't hurt my back too much; whereas, the old one lead to some serious pain killers. It was awful to push that thing around. Still works like a charm, though. By the feel of this one, it won't last as long. Feels cheap.So, obviously, I'm torn about this one. I haven't decided yet whether to return it for a better version or not, but I am seriously considering the DeluxePro Shark.  https://smile.amazon.com/Shark-DeluxePro-Ultra-Light-Upright-Bordeaux/dp/B00NGVF4II I like the lights and onboard tools.
  
"
3.0 out of 5 stars,"







  
  
    This is so very top heavy, it hurts my back. It is difficult to maneuver. The floor part won’t stay down and keeps locking up for standing position.  It doesn’t hold much before requiring emptying.  With cats fur and litter it fills quickly.  It does pick up litter.  You won’t have the expense of all those bags with litter cats throw out.  It does well on floors but not as well on carpet. I still use my name brand new expensive upright on carpet for best clean.  I use my German made canister on floors and dusting.  This I use for in between in bathroom and around foster kittens’ litter throwing contests! It has another problem. The floor attachment locks up and I have to pound it so it drops to meet the floor.
  
"
3.0 out of 5 stars,"







  
  
    I’d give this a e.t star if I could. This works great on carpet and well on floors. My huge issue is that it is a pain in the ass to empty. Let me start by saying that I dump the debris from my vacuums/sweepers in the garbage bin outside to prevent dust from getting on the floor. This vacuum makes it very difficult to do this. Not only does the top half of the vacuum have to be removed in order to empty it but the cord is also attached. When I empty to debris I have to carry the top half of the vacuum along with the cord outside. It wouldn’t be too bad if the cord was attached but it is and it’s annoying.
  
"
3.0 out of 5 stars,"







  
  
    Was too heavy and didn't realize it had a cord!!
  
"
3.0 out of 5 stars,"







  
  
    This tool is ideal for vacuuming our small, rock living area.  And it easily lays flat for reaching under the sofa. Unfortunately, it's useless as a hand held vac for our car.  Simply not enough suction.  If you have a small space, it's a great vacuum.  But, if you wanted to use all the spiffy tools they include, you'll likely find it without enough power.
  
"
3.0 out of 5 stars,"







  
  
    I'm a little disappointed.  I didn't want to spend as much to get a dyson, so I tried this.  I was considering returning it but it'll do.The added parts - there are many which is nice, but I don't know where to store them all.  I'll probably rarely use them as it's not convenient for me to store the bag and then dig through it.  Not a big issue, but just my preference....I like the onboard extras of other vacuums I've owned.Balance - it's very top heavy, so standing it up is difficult.  Plus I get a little tired pushing it around.  I'm used to the bottom floor piece being heavier, so again, not what I was expecting.Emptying - it's a little awkward, again because of the balance.  After a few tries, I now understand I need to empty it in a lower trash bag.  I cannot pick it up to empty in my tall kitchen garbage.  I wish the cup removed completely instead of needing to tip the whole unit over to empty.Side sweeping - my dyson canister and uprights that i've had even sucks up around the side.  This machine only gets what is directly in front of it.  It's fine but not as efficient.Overall it's fine for my second floor quick clean so I don't have to lug the canister vacuum up.  It was not enough to clean my whole downstairs without emptying a few times...plus it took much longer.
  
"
3.0 out of 5 stars,"







  
  
    i had a Miele prior, and lost it in my house fire, so my limited funds to replace led me to a Shark. i've had this for 2 years - the chord! can we talk about the awful chord? it is all knotted and twisted- it is a mess. i have to go to a local vacuum repair shop to replace it. i wrap the chord around the chord holders, and i do nothing out of the ordinary with the vacuum except use it. in addition, the front cover over the filters keeps popping off while i use it, so i had to duck tape it in place. i should have saved my money up and bought a Miele.
  
"
3.0 out of 5 stars,"







  
  
    Top heavy and difficult to use for someone with weak hands unless being used on floor. I bought it for its light weight and for dusting ceiling, furniture, stairs, hardwood floors. Also you have to check which accessories come with it. You just can't look at the picture.  It worked well enough on my hardwood floors and the brush underneath was simple to remove and clean.
  
"
3.0 out of 5 stars,"







  
  
    This is a heavy stick type vacuum.  If the 15 or so pounds of the vacuum were at the base I could have used this thing.It is very good quality and excellent suction with many features.  The weight was just too much for me.  I ended up using both hands to push this thing around.  If you arer young, healthy and strong go for it.
  
"
3.0 out of 5 stars,"







  
  
    Ok I love it. I am a custodian with a highly demanding area. I can hang this on my cart vacuum just anything and anywhere. Love it! But realizing that the way I use thus wonderfully built vacuum I will need replacement parts. That is a bid problem because the brush bar alone is almost what I paid for the whole unit with all the attacbments. So it will only last as long as the brush bar lasts.
  
"
3.0 out of 5 stars,"







  
  
    1. Top heavy (7 pounds or so) with the motor being at the handle. If you're not real strong, it's an adjustment.2. This also means it won't stand upright by itself.3. For me, it's tricky emptying the dust cup (the release button is on the bottom. I have to hold the vacuum with one hand, push the release with one finger while pulling the lid down with another.4. I like cleaning the dust cup after use but it doesn't detach from the vacuum. I have to release the wand and brush from the motor so I can turn it over to wipe it out.I suggest taking a look at one in a local store to see if the above is as bothersome as for me. Yes, I would return it except for the hassle of doing so.Pro - it has very good suction and nice long cord.
  
"
3.0 out of 5 stars,"







  
  
    This vacuum worked well for about a year, after that random things started to break, most recently the plastic tabs that hold the waste canister together.  I cannot use the vacuum now because mid use the canister just falls off and everything I have swept up falls all over the floor. The suction is good but the quality isn't so hot.  You will have to replace after a year or two.
  
"
3.0 out of 5 stars,"







  
  
    This does a GREAT job cleaning. However, it's very uncomfortable for me to use this for an extended time. It wears on my hands.
  
"
3.0 out of 5 stars,"







  
  
    It’s a fine vacuum but I stupidly thought it was cordless. During the first and only use, the cord literally knocked over a glass and broke it in my tiny apartment — I am used to cordless! It’s also much heavier than a stick vacuum, so it’s going back.
  
"
3.0 out of 5 stars,"







  
  
    I bought this to vacuum up the kitty litter the cats track out of the pan.  It works.... But just so.  I may return it if tech support can't figure what's wrong.
  
"
3.0 out of 5 stars,"







  
  
    Easy to handle, though a bit top-heavy.  My first bagless vacuum.  One issue that may resolve in time, there is a strong odor in the closet where I store the new vacuum, which definitely was not there before.  I'm hoping it will dissipate soon!!  Has better suction than my expensive Riccar!
  
"
3.0 out of 5 stars,"







  
  
    Noisy Noisy Noisy.  Now I know why the guy is akways yelling on the infomercial.  But it truly sucks up dirt from Garbage
  
"
3.0 out of 5 stars,"







  
  
    don't like the cord!!!!!
  
"
3.0 out of 5 stars,"







  
  
    works good not real easy to handle. your arm can get tired
  
"
3.0 out of 5 stars,"







  
  
    The vacuum head not as big as it should be (I feel) or as heavy....
  
"
3.0 out of 5 stars,"







  
  
    It's light, but could have done better. Has a few annoying features. Doesn't stand when not in use. When emptying,can't detache power cord from canister.
  
"
3.0 out of 5 stars,"







  
  
    Works great, but downside is that it doesn't stand up on its own. You have to lay it down flat. Also when you dump the trash the cord is attached to that part so if your trash can is far then you would have to take the cord with you.
  
"
3.0 out of 5 stars,"







  
  
    I bought this to pick up cat litter in the bonus room of my house. It doesn't do a very good job. The holder for the vacuum is not very  sturdy when it's hung on the wall
  
"
3.0 out of 5 stars,"







  
  
    I did not receive the dust-away hard floor attachment + washable microfiber pad.
  
"
3.0 out of 5 stars,"







  
  
    It does not have the amount of suction I was hoping for.  But, I do like how light-weight it is, because I am disabled and can't use heavy vacuums.
  
"
3.0 out of 5 stars,"







  
  
    Product works good, but I keep having to empty the canister. I do not like the fact that it doesn't stand upright.
  
"
3.0 out of 5 stars,"







  
  
    As other reviewers have noted the unit has to lean against something since the unit is not made to stand upright on its own. The vacuum has average suction. My unit was missing the dust away attachment and the wall plate. I called the Shark customer service number. I was told that both items have been requested and I should receive it in the mail. It has been 2 weeks and I am still waiting. Without the dust away attachment, this vacuum is not very useful in picking up floor dust.
  
"
3.0 out of 5 stars,"







  
  
    good product.
  
"
3.0 out of 5 stars,"







  
  
    While this is a good vacuum, I was disappointed by the lack of suction.
  
"
3.0 out of 5 stars,"







  
  
    Thought it would be lighter than it is. But it is very convenient as I have a dog that sheds.
  
"
3.0 out of 5 stars,"







  
  
    It is top heavy.  Cannot stand, must lay down when needing to take a break.  Hanger is very light weight.  Good suction.
  
"
3.0 out of 5 stars,"







  
  
    Wand connector to the bottom part of the vacuum stop working. Can't find a repair store around the area that I live
  
"
3.0 out of 5 stars,"







  
  
    We've had a Shark Rocket for 3 years now, and I have to say I'm disappointed.  It is very maneuverable, and that's a plus.  But the suction is actually quite poor, even with clean/new filters.  I still find myself going over the same area of carpet 3 times just to get the visibly bouncing junk to vacuum up.  We recently hired a housecleaner, and their vacuum actually gets the carpets clean, and we immediately saw the difference.  Rather disappointed in this 'Amazon best seller' product in the end.
  
"
3.0 out of 5 stars,"







  
  
    Outstanding suction.  To empty dirt compartment you must take the cord with you.  Unless you have a place to mount the unit it is quite top heavy and falls easily.  Like the filter that's washable instead of buying new filters all the time.  Would purchase an upright next time.  Love the brand and it comes with plenty of accessories.
  
"
3.0 out of 5 stars,"







  
  
    returned this item--ordered wrong model
  
"
3.0 out of 5 stars,"







  
  
    Bought this on the ""deep deals-open box items"" site.  The description said the box had some damage.  It didn't say the vacuum came with someone else's hair in the roller brush and their dirt in the collection cup.  Creeps me out.  Vacuum seems okay-moves easily but sprays particles on hard floors.
  
"
3.0 out of 5 stars,"







  
  
    I love how this vacuum cleaner operates on the steps.  It also vacuums doormats and cow hide rugs with ease along with Persian rugs.  It has a super long cord which is great for doing a two-story home.  It can grab insects in hard to reach places like above a curtain or a window.  The suction capability is great but this vacuum is very top heavy and cumbersome to handle.  If you do not balance this on an object while you are cleaning, it will fall down with a loud crash and you can damage it and it was not cheap.  It is not quite as light as it looks and I am disappointed that I have spent the past 30 minutes trying to register my purchase and I cannot find the serial number nor the model number on their web site and I am an educated person.  Most people will give up on the registration, which will be good for Shark when it comes to replacements.I set up an account and even photographed the box and the Shark label. Apparently you have to take the dirt canister off and then find the serial number behind that.  Mine does not have one that I can see because Shark has placed the sticker below the line of sight behind the plastic casing.  It is almost as if they do not want you to make a warranty claim, which give me pause.  They have an extended warranty of I think five years, but if you cannot find the label to register it, forget about it! I am sure if you have a problem they will not help you with a replacement without the serial number.  I am too frustrated right now.  I will wait until Monday and call them and let you know how it goes.  This is NOT a user friendly appliance by any means.
  
"
